7;3
7;42
7;41
7;34
7;33
7;32
7;31
7;30
7;29
7;28
7;27
7;26
7;25
7;24
7;23
7;22
7;21
7;20
7;19
7;18
7;17
7;16
7;15
7;14
7;13
7;12
7;11
7;10
7;9
7;8
7;7
7;6
7;5
7;4
7;2
7;1
7;-1
7;0
8;30
9;30
10;30
11;30
12;30
13;30
14;30
15;30
16;30
17;30
18;30
19;30
20;30
21;30
22;30
23;30
24;30
25;30
26;30
27;30
28;30
29;30
30;30
31;30
32;30
33;30
34;30
35;30
36;30
8;32
10;32
11;32
10;31
9;31
8;31
9;32
11;31
12;31
13;31
14;31
15;31
16;31
15;32
14;32
13;32
12;32
16;32
17;32
18;32
19;32
20;32
21;32
22;32
23;32
24;32
25;32
26;32
27;32
28;32
29;32
30;32
17;31
18;31
19;31
20;31
21;31
22;31
23;31
28;31
8;33
9;33
10;33
11;33
12;33
13;33
14;33
15;33
16;33
17;33
18;33
19;33
20;33
21;33
22;33
24;33
25;33
26;33
27;33
28;33
29;33
30;33
31;33
23;33
24;31
25;31
26;31
27;31
29;31
30;31
31;31
32;31
33;31
32;32
31;32
33;32
34;32
35;32
35;31
34;31
36;31
36;32
36;33
35;33
34;33
33;33
32;33
8;34
11;35
12;35
14;35
16;35
17;35
18;35
19;35
20;35
21;35
22;35
23;35
24;35
25;35
26;35
27;35
28;35
29;35
29;34
30;34
31;34
32;34
33;34
34;34
35;34
36;34
33;35
32;35
31;35
27;34
25;34
24;34
23;34
22;34
21;34
20;34
19;34
18;34
17;34
16;34
14;34
13;34
12;34
11;34
10;34
9;34
15;34
15;35
10;35
9;35
8;35
13;35
26;36
27;36
28;36
30;36
31;36
30;35
26;34
28;34
34;35
35;35
36;35
37;35
38;35
39;35
40;35
37;30
38;30
39;30
40;30
41;30
42;30
43;30
44;30
45;30
46;30
47;30
48;30
49;30
50;30
51;30
52;30
53;30
54;30
55;30
56;30
57;30
58;30
59;30
60;30
61;30
62;30
63;30
64;30
65;30
66;30
67;30
68;30
69;30
70;30
71;30
72;30
73;30
74;30
75;30
76;30
77;30
78;30
79;30
80;30
81;30
82;30
83;30
84;30
85;30
86;30
87;30
88;30
89;30
90;30
91;30
92;30
93;30
94;30
95;30
96;30
97;30
98;30
99;30
100;30
101;30
102;30
103;30
104;30
